Data Point Listing of File C:\Users\set.a.m2s.036\Documents\Aris\CPMG_silicon_oil_20251204.tnt
Starting Point:	1	Ending Point:	40000
Starting 2D Record:	1	Ending Record:	1
Real	Imag	usec
100231.000	-636184.000	1800.000
179283.000	-625195.000	1804.000
220309.000	-556644.000	1808.000
224266.000	-466414.000	1812.000
194689.000	-377164.000	1816.000
144767.000	-299263.000	1820.000
1909.000	-494369.000	1824.000
33138.000	-578510.000	1828.000
98669.000	-635099.000	1832.000
175414.000	-626959.000	1836.000
221772.000	-554165.000	1840.000
219888.000	-464155.000	1844.000
191163.000	-378312.000	1848.000
148129.000	-298980.000	1852.000
2849.000	-493620.000	1856.000
35429.000	-580127.000	1860.000
96891.000	-633557.000	1864.000
181097.000	-622723.000	1868.000
221968.000	-553227.000	1872.000
220801.000	-463224.000	1876.000
191361.000	-379729.000	1880.000
147063.000	-297795.000	1884.000
3951.000	-492096.000	1888.000
34226.000	-576391.000	1892.000
96750.000	-631202.000	1896.000
176873.000	-619643.000	1900.000
224150.000	-551730.000	1904.000
222391.000	-463566.000	1908.000
189234.000	-376222.000	1912.000
147099.000	-297738.000	1916.000
2674.000	-491094.000	1920.000
35189.000	-577935.000	1924.000
99155.000	-629626.000	1928.000
179393.000	-619312.000	1932.000
220503.000	-549980.000	1936.000
222137.000	-463757.000	1940.000
190686.000	-375410.000	1944.000
148371.000	-293978.000	1948.000
665.000	-488597.000	1952.000
34472.000	-574077.000	1956.000
98192.000	-628671.000	1960.000
176940.000	-619371.000	1964.000
219121.000	-550125.000	1968.000
220150.000	-461016.000	1972.000
190583.000	-374277.000	1976.000
146479.000	-292888.000	1980.000
2250.000	-485995.000	1984.000
32882.000	-572713.000	1988.000
98196.000	-626705.000	1992.000
176574.000	-617587.000	1996.000
217657.000	-548616.000	2000.000
219016.000	-460287.000	2004.000
190230.000	-376894.000	2008.000
148254.000	-293928.000	2012.000
3188.000	-488639.000	2016.000
33295.000	-572899.000	2020.000
96461.000	-627114.000	2024.000
176872.000	-616215.000	2028.000
218701.000	-546277.000	2032.000
220311.000	-461359.000	2036.000
189482.000	-375081.000	2040.000
146367.000	-292540.000	2044.000
1961.000	-486451.000	2048.000
35318.000	-573258.000	2052.000
98526.000	-625269.000	2056.000
176360.000	-616137.000	2060.000
217862.000	-548386.000	2064.000
219244.000	-459994.000	2068.000
186954.000	-373158.000	2072.000
146219.000	-291767.000	2076.000
3586.000	-487676.000	2080.000
33327.000	-570863.000	2084.000
100842.000	-622599.000	2088.000
176982.000	-613796.000	2092.000
220857.000	-543132.000	2096.000
214801.000	-458453.000	2100.000
189485.000	-373127.000	2104.000
146206.000	-293160.000	2108.000
1256.000	-487172.000	2112.000
32991.000	-569575.000	2116.000
98520.000	-625062.000	2120.000
176923.000	-610381.000	2124.000
218390.000	-543667.000	2128.000
217003.000	-456759.000	2132.000
190793.000	-372871.000	2136.000
145027.000	-291618.000	2140.000
4302.000	-481870.000	2144.000
33292.000	-568052.000	2148.000
96455.000	-622022.000	2152.000
175019.000	-611312.000	2156.000
217551.000	-540350.000	2160.000
217116.000	-456658.000	2164.000
191751.000	-371514.000	2168.000
147410.000	-293007.000	2172.000
3314.000	-481664.000	2176.000
32566.000	-566451.000	2180.000
97428.000	-617992.000	2184.000
174335.000	-611682.000	2188.000
216142.000	-542330.000	2192.000
218686.000	-452591.000	2196.000
189433.000	-368133.000	2200.000
143829.000	-288069.000	2204.000
4252.000	-479418.000	2208.000
34928.000	-567881.000	2212.000
97717.000	-619694.000	2216.000
175828.000	-609166.000	2220.000
217696.000	-541377.000	2224.000
218367.000	-455907.000	2228.000
189180.000	-368921.000	2232.000
142465.000	-289882.000	2236.000
1735.000	-483483.000	2240.000
32753.000	-565715.000	2244.000
94638.000	-620111.000	2248.000
174132.000	-609363.000	2252.000
216139.000	-541211.000	2256.000
216969.000	-453114.000	2260.000
186160.000	-368626.000	2264.000
146217.000	-291587.000	2268.000
375.000	-479476.000	2272.000
34145.000	-564285.000	2276.000
96304.000	-616525.000	2280.000
173770.000	-604851.000	2284.000
215917.000	-536425.000	2288.000
214724.000	-452702.000	2292.000
189881.000	-369501.000	2296.000
142641.000	-286803.000	2300.000
1552.000	-479895.000	2304.000
34708.000	-563693.000	2308.000
95618.000	-615183.000	2312.000
172503.000	-606473.000	2316.000
212778.000	-538612.000	2320.000
216730.000	-453372.000	2324.000
188400.000	-368089.000	2328.000
142567.000	-285490.000	2332.000
1501.000	-478572.000	2336.000
31173.000	-562886.000	2340.000
94110.000	-616516.000	2344.000
174344.000	-605975.000	2348.000
214358.000	-535673.000	2352.000
215357.000	-452482.000	2356.000
185874.000	-366490.000	2360.000
143301.000	-286109.000	2364.000
-160.000	-478409.000	2368.000
32818.000	-561027.000	2372.000
94663.000	-611000.000	2376.000
173635.000	-602281.000	2380.000
215861.000	-534672.000	2384.000
215356.000	-449159.000	2388.000
184485.000	-366048.000	2392.000
143538.000	-285720.000	2396.000
887.000	-475017.000	2400.000
31162.000	-558554.000	2404.000
94896.000	-612102.000	2408.000
173465.000	-604791.000	2412.000
213485.000	-535106.000	2416.000
214090.000	-450065.000	2420.000
185374.000	-364426.000	2424.000
142668.000	-285286.000	2428.000
469.000	-474712.000	2432.000
28963.000	-559356.000	2436.000
95612.000	-611716.000	2440.000
169890.000	-602917.000	2444.000
214621.000	-534277.000	2448.000
214778.000	-447216.000	2452.000
185968.000	-362391.000	2456.000
144766.000	-287015.000	2460.000
1603.000	-473028.000	2464.000
30677.000	-561185.000	2468.000
92687.000	-609424.000	2472.000
172450.000	-596806.000	2476.000
215230.000	-530871.000	2480.000
211749.000	-443733.000	2484.000
185699.000	-362928.000	2488.000
139148.000	-285074.000	2492.000
-27.000	-477388.000	2496.000
30487.000	-557270.000	2500.000
94900.000	-610559.000	2504.000
172119.000	-599959.000	2508.000
213419.000	-530484.000	2512.000
214275.000	-445730.000	2516.000
187100.000	-360661.000	2520.000
143233.000	-283013.000	2524.000
861.000	-471266.000	2528.000
33213.000	-557826.000	2532.000
91087.000	-607703.000	2536.000
169495.000	-599164.000	2540.000
213549.000	-532382.000	2544.000
215633.000	-446943.000	2548.000
185157.000	-361909.000	2552.000
142206.000	-281697.000	2556.000
3223.000	-469952.000	2560.000
32833.000	-552701.000	2564.000
93068.000	-607473.000	2568.000
170637.000	-596503.000	2572.000
212683.000	-529332.000	2576.000
214587.000	-445312.000	2580.000
183337.000	-361700.000	2584.000
142471.000	-282136.000	2588.000
869.000	-471957.000	2592.000
29448.000	-551265.000	2596.000
93430.000	-605665.000	2600.000
172961.000	-595943.000	2604.000
212899.000	-530300.000	2608.000
212149.000	-444184.000	2612.000
182749.000	-360696.000	2616.000
141510.000	-280986.000	2620.000
907.000	-467804.000	2624.000
31391.000	-548918.000	2628.000
92280.000	-604385.000	2632.000
169874.000	-594516.000	2636.000
211358.000	-526083.000	2640.000
211087.000	-441746.000	2644.000
186133.000	-358001.000	2648.000
141350.000	-282166.000	2652.000
-1482.000	-468476.000	2656.000
30729.000	-549600.000	2660.000
95573.000	-601700.000	2664.000
170727.000	-593320.000	2668.000
210932.000	-527908.000	2672.000
212750.000	-442348.000	2676.000
184483.000	-359700.000	2680.000
140594.000	-283151.000	2684.000
-951.000	-469386.000	2688.000
29333.000	-548406.000	2692.000
93962.000	-602532.000	2696.000
169946.000	-593115.000	2700.000
210461.000	-527265.000	2704.000
211870.000	-440432.000	2708.000
183009.000	-359053.000	2712.000
142566.000	-278700.000	2716.000
241.000	-471143.000	2720.000
32452.000	-549038.000	2724.000
91540.000	-603945.000	2728.000
167436.000	-590758.000	2732.000
210749.000	-524068.000	2736.000
212810.000	-438529.000	2740.000
182239.000	-355691.000	2744.000
141762.000	-280013.000	2748.000
-1755.000	-467224.000	2752.000
31314.000	-550135.000	2756.000
95132.000	-599771.000	2760.000
167204.000	-589817.000	2764.000
210288.000	-524229.000	2768.000
212602.000	-439704.000	2772.000
183045.000	-358097.000	2776.000
139685.000	-278247.000	2780.000
168.000	-465151.000	2784.000
29734.000	-546330.000	2788.000
91233.000	-597686.000	2792.000
169357.000	-588700.000	2796.000
207299.000	-523448.000	2800.000
207996.000	-438895.000	2804.000
182488.000	-355157.000	2808.000
139276.000	-276954.000	2812.000
-733.000	-464921.000	2816.000
29569.000	-542990.000	2820.000
91188.000	-598329.000	2824.000
168834.000	-586443.000	2828.000
210603.000	-521428.000	2832.000
209490.000	-435405.000	2836.000
181711.000	-354969.000	2840.000
141204.000	-276656.000	2844.000
64.000	-462869.000	2848.000
31598.000	-542875.000	2852.000
92401.000	-598453.000	2856.000
169167.000	-586801.000	2860.000
207733.000	-517711.000	2864.000
208924.000	-436452.000	2868.000
182325.000	-352427.000	2872.000
139283.000	-274733.000	2876.000
1127.000	-463740.000	2880.000
30007.000	-544673.000	2884.000
92021.000	-595303.000	2888.000
167431.000	-582344.000	2892.000
210027.000	-520511.000	2896.000
207077.000	-435532.000	2900.000
180633.000	-352376.000	2904.000
138493.000	-274718.000	2908.000
-3097.000	-462018.000	2912.000
30089.000	-542647.000	2916.000
89738.000	-593783.000	2920.000
166691.000	-585607.000	2924.000
208653.000	-517880.000	2928.000
207376.000	-436138.000	2932.000
180981.000	-353082.000	2936.000
137679.000	-276527.000	2940.000
-2593.000	-461516.000	2944.000
29504.000	-541904.000	2948.000
91527.000	-594359.000	2952.000
167413.000	-584534.000	2956.000
208920.000	-518287.000	2960.000
210749.000	-433410.000	2964.000
182977.000	-351657.000	2968.000
138920.000	-275003.000	2972.000
-841.000	-459965.000	2976.000
30321.000	-539534.000	2980.000
89472.000	-591701.000	2984.000
165685.000	-579938.000	2988.000
209076.000	-517039.000	2992.000
209719.000	-433536.000	2996.000
179599.000	-352085.000	3000.000
139987.000	-275780.000	3004.000
-3480.000	-459067.000	3008.000
31658.000	-539883.000	3012.000
88148.000	-591795.000	3016.000
164585.000	-580845.000	3020.000
205804.000	-513154.000	3024.000
207154.000	-432239.000	3028.000
183276.000	-348584.000	3032.000
142424.000	-273542.000	3036.000
200.000	-456947.000	3040.000
29730.000	-539166.000	3044.000
94005.000	-589201.000	3048.000
166966.000	-580446.000	3052.000
205805.000	-517254.000	3056.000
205040.000	-431428.000	3060.000
180886.000	-350695.000	3064.000
139680.000	-272955.000	3068.000
-3521.000	-456022.000	3072.000
26287.000	-539448.000	3076.000
