Data Point Listing of File C:\Users\set.a.m2s.036\Documents\Aris\CPMG_CuSO4_20251118.tnt
Starting Point:	1	Ending Point:	32000
Starting 2D Record:	1	Ending Record:	1
Real	Imag	usec
-1329.000	-16276.000	3436.000
-3579.000	-12264.000	3440.000
0.000	0.000	3444.000
0.000	0.000	3448.000
0.000	0.000	3452.000
1710.000	-5013.000	3456.000
3340.000	-12071.000	3460.000
1394.000	-16241.000	3464.000
-2041.000	-16767.000	3468.000
-4377.000	-12324.000	3472.000
0.000	0.000	3476.000
0.000	0.000	3480.000
0.000	0.000	3484.000
1603.000	-4512.000	3488.000
2853.000	-10955.000	3492.000
937.000	-15254.000	3496.000
-2458.000	-16269.000	3500.000
-4519.000	-11983.000	3504.000
0.000	0.000	3508.000
0.000	0.000	3512.000
0.000	0.000	3516.000
1714.000	-4261.000	3520.000
3158.000	-10752.000	3524.000
1397.000	-15070.000	3528.000
-1534.000	-16077.000	3532.000
-4002.000	-11828.000	3536.000
0.000	0.000	3540.000
0.000	0.000	3544.000
0.000	0.000	3548.000
1763.000	-5167.000	3552.000
2878.000	-12050.000	3556.000
551.000	-15399.000	3560.000
-2650.000	-15652.000	3564.000
-4385.000	-11411.000	3568.000
0.000	0.000	3572.000
0.000	0.000	3576.000
0.000	0.000	3580.000
2405.000	-4610.000	3584.000
4173.000	-11197.000	3588.000
2091.000	-15288.000	3592.000
-1514.000	-16186.000	3596.000
-3782.000	-11796.000	3600.000
0.000	0.000	3604.000
0.000	0.000	3608.000
0.000	0.000	3612.000
1526.000	-5341.000	3616.000
2854.000	-12366.000	3620.000
1378.000	-15716.000	3624.000
-1551.000	-16261.000	3628.000
-3605.000	-11813.000	3632.000
0.000	0.000	3636.000
0.000	0.000	3640.000
0.000	0.000	3644.000
1899.000	-4862.000	3648.000
3432.000	-11738.000	3652.000
1632.000	-15802.000	3656.000
-1709.000	-16366.000	3660.000
